phase,workload,workers,seq_ms,con_ms,speedup,p50,p95,p99
# metadata,commit=6c24953,build=Release,arch=apple
raw,linear,1,30.0452
raw,linear,1,30.2035
raw,linear,1,30.4205
raw,linear,1,30.1097
raw,linear,1,32.0981
raw,linear,1,31.9107
raw,linear,1,30.034
raw,linear,1,30.423
raw,linear,1,29.942
raw,linear,1,30.7018
summary,linear,1,29.3507,30.2035,0.971762,30.2035,31.9107,31.9107
raw,linear,2,31.867
raw,linear,2,30.1038
raw,linear,2,30.3654
raw,linear,2,30.6105
raw,linear,2,30.3381
raw,linear,2,30.2758
raw,linear,2,30.3015
raw,linear,2,30.389
raw,linear,2,30.2692
raw,linear,2,30.274
summary,linear,2,29.3507,30.3015,0.968621,30.3015,30.6105,30.6105
raw,linear,4,30.2313
raw,linear,4,30.1852
raw,linear,4,30.387
raw,linear,4,30.139
raw,linear,4,30.322
raw,linear,4,30.2711
raw,linear,4,30.4343
raw,linear,4,30.3263
raw,linear,4,30.3343
raw,linear,4,29.9527
summary,linear,4,29.3507,30.2711,0.969594,30.2711,30.387,30.387
raw,linear,8,30.9093
raw,linear,8,29.9285
raw,linear,8,30.6014
raw,linear,8,30.3485
raw,linear,8,30.2991
raw,linear,8,30.4486
raw,linear,8,30.7479
raw,linear,8,33.4464
raw,linear,8,30.5417
raw,linear,8,30.1353
summary,linear,8,29.3507,30.4486,0.963942,30.4486,30.9093,30.9093
raw,diamond,1,11.3049
raw,diamond,1,11.4631
raw,diamond,1,11.4064
raw,diamond,1,11.4207
raw,diamond,1,12.1295
raw,diamond,1,11.8525
raw,diamond,1,11.5537
raw,diamond,1,11.4121
raw,diamond,1,11.5168
raw,diamond,1,11.6534
summary,diamond,1,11.2781,11.4631,0.983861,11.4631,11.8525,11.8525
raw,diamond,2,7.48646
raw,diamond,2,7.62338
raw,diamond,2,7.77008
raw,diamond,2,7.74942
raw,diamond,2,7.69383
raw,diamond,2,7.68396
raw,diamond,2,7.77042
raw,diamond,2,7.54404
raw,diamond,2,7.69008
raw,diamond,2,7.57092
summary,diamond,2,11.2781,7.68396,1.46775,7.68396,7.77008,7.77008
raw,diamond,4,7.72367
raw,diamond,4,7.688
raw,diamond,4,8.01158
raw,diamond,4,7.16596
raw,diamond,4,7.69879
raw,diamond,4,7.69292
raw,diamond,4,7.51842
raw,diamond,4,7.93029
raw,diamond,4,7.04071
raw,diamond,4,7.57242
summary,diamond,4,11.2781,7.688,1.46698,7.688,7.93029,7.93029
raw,diamond,8,7.76337
raw,diamond,8,7.39121
raw,diamond,8,8.36946
raw,diamond,8,7.67121
raw,diamond,8,7.85163
raw,diamond,8,8.06421
raw,diamond,8,7.84179
raw,diamond,8,7.59079
raw,diamond,8,7.93925
raw,diamond,8,7.76671
summary,diamond,8,11.2781,7.76671,1.45211,7.76671,8.06421,8.06421
raw,wide,1,61.1546
raw,wide,1,60.3682
raw,wide,1,60.6143
raw,wide,1,59.905
raw,wide,1,60.5515
raw,wide,1,60.3851
raw,wide,1,60.7048
raw,wide,1,60.5157
raw,wide,1,60.7044
raw,wide,1,60.6201
summary,wide,1,58.9413,60.5515,0.973407,60.5515,60.7048,60.7048
raw,wide,2,30.2037
raw,wide,2,30.4528
raw,wide,2,30.3597
raw,wide,2,31.3412
raw,wide,2,31.2038
raw,wide,2,30.3062
raw,wide,2,29.5665
raw,wide,2,30.6135
raw,wide,2,30.2859
raw,wide,2,29.5194
summary,wide,2,58.9413,30.3062,1.94486,30.3062,31.2038,31.2038
raw,wide,4,14.8653
raw,wide,4,15.001
raw,wide,4,15.2238
raw,wide,4,15.2444
raw,wide,4,14.7975
raw,wide,4,15.8201
raw,wide,4,15.1568
raw,wide,4,15.6607
raw,wide,4,14.7887
raw,wide,4,15.1173
summary,wide,4,58.9413,15.1173,3.89894,15.1173,15.6607,15.6607
raw,wide,8,7.79625
raw,wide,8,7.72192
raw,wide,8,7.68208
raw,wide,8,7.59758
raw,wide,8,7.49817
raw,wide,8,7.45338
raw,wide,8,7.78283
raw,wide,8,7.84183
raw,wide,8,9.09317
raw,wide,8,8.98713
summary,wide,8,58.9413,7.72192,7.63299,7.72192,8.98713,8.98713
raw,layered,1,67.4826
raw,layered,1,68.1179
raw,layered,1,67.116
raw,layered,1,68.2886
raw,layered,1,67.8205
raw,layered,1,68.0357
raw,layered,1,68.4904
raw,layered,1,68.3812
raw,layered,1,68.6425
raw,layered,1,68.2882
summary,layered,1,67.1627,68.1179,0.985977,68.1179,68.4904,68.4904
raw,layered,2,34.0526
raw,layered,2,34.1807
raw,layered,2,33.958
raw,layered,2,33.9373
raw,layered,2,34.3188
raw,layered,2,33.8236
raw,layered,2,34.5464
raw,layered,2,33.9466
raw,layered,2,33.4848
raw,layered,2,33.7345
summary,layered,2,67.1627,33.9466,1.97848,33.9466,34.3188,34.3188
raw,layered,4,18.2734
raw,layered,4,18.5614
raw,layered,4,19.0181
raw,layered,4,19.2921
raw,layered,4,19.0948
raw,layered,4,19.159
raw,layered,4,19.1262
raw,layered,4,19.4813
raw,layered,4,19.0694
raw,layered,4,19.092
summary,layered,4,67.1627,19.092,3.51785,19.092,19.2921,19.2921
raw,layered,8,11.5749
raw,layered,8,11.1369
raw,layered,8,11.638
raw,layered,8,11.6402
raw,layered,8,11.7302
raw,layered,8,11.7408
raw,layered,8,11.6997
raw,layered,8,11.6615
raw,layered,8,11.7175
raw,layered,8,11.6051
summary,layered,8,67.1627,11.6402,5.76986,11.6402,11.7302,11.7302
raw,random,1,38.0589
raw,random,1,37.5421
raw,random,1,38.1118
raw,random,1,38.0448
raw,random,1,38.366
raw,random,1,38.0124
raw,random,1,38.095
raw,random,1,38.2156
raw,random,1,37.9281
raw,random,1,38.0126
summary,random,1,37.6547,38.0448,0.989747,38.0448,38.2156,38.2156
raw,random,2,23.0335
raw,random,2,22.9671
raw,random,2,22.9782
raw,random,2,22.5211
raw,random,2,22.9305
raw,random,2,22.8492
raw,random,2,22.9722
raw,random,2,22.7359
raw,random,2,22.9463
raw,random,2,22.8437
summary,random,2,37.6547,22.9305,1.64212,22.9305,22.9782,22.9782
raw,random,4,15.2525
raw,random,4,15.2119
raw,random,4,15.2462
raw,random,4,15.3025
raw,random,4,15.2893
raw,random,4,15.1977
raw,random,4,15.2837
raw,random,4,15.6305
raw,random,4,15.2667
raw,random,4,15.2979
